name,location,rating,votes,cost_for_two,online_order,book_table,rest_type,primary_cuisine,price_range
FreshMenu,Banashankari,3.9,627,450.0,Yes,No,Delivery,Healthy Food,High-End
Banashankari Donne Biriyani,Banashankari,3.8,104,300.0,Yes,No,Quick Bites,Biryani,Budget
Wamama,Banashankari,4.2,354,800.0,Yes,Yes,Casual Dining,Asian,Luxury
Five Star Chicken,Banashankari,3.6,55,200.0,No,No,Quick Bites,Fast Food,Budget
XO Belgian Waffle,Banashankari,3.7,17,400.0,Yes,No,Dessert Parlor,Desserts,Medium
Peppy Peppers,Banashankari,4.2,244,800.0,No,No,Casual Dining,Italian,Luxury
Goa 0 Km,Kumaraswamy Layout,3.6,163,800.0,Yes,Yes,Casual Dining,Goan,Luxury
Chinese Kitchen,Basavanagudi,3.8,58,150.0,Yes,No,Quick Bites,Chinese,Budget
1947,Banashankari,4.0,808,850.0,No,Yes,Casual Dining,North Indian,Luxury
Cake of the Day,Banashankari,3.7,78,150.0,No,No,"Bakery, Dessert Parlor",Bakery,Budget
Kabab Magic,Basavanagudi,4.1,1720,400.0,Yes,No,Quick Bites,North Indian,Medium
Namma Brahmin's Idli,Jayanagar,3.6,34,100.0,Yes,No,Quick Bites,South Indian,Budget
Gustoes Beer House,Banashankari,4.1,868,1200.0,No,No,Pub,Continental,Luxury
Sugar Rush,Banashankari,3.8,39,300.0,No,No,Bakery,Bakery,Budget
Burger King,Basavanagudi,3.2,71,600.0,Yes,No,Quick Bites,Burger,High-End
The Good Bowl,Banashankari,3.6,6,500.0,Yes,No,"Takeaway, Delivery",Italian,High-End
The Biryani Cafe,Banashankari,4.1,520,300.0,No,No,Quick Bites,Biryani,Budget
Spicy Tandoor,Banashankari,,0,150.0,No,No,Quick Bites,North Indian,Budget
LSD Cafe,Banashankari,2.9,84,700.0,No,No,Delivery,Chinese,Luxury
Rolls On Wheels,Banashankari,3.6,299,300.0,No,No,Quick Bites,Fast Food,Budget
Om Sri Vinayaka Chats,Banashankari,,0,500.0,No,No,"Takeaway, Delivery",Street Food,High-End
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,4.1,558,150.0,Yes,No,Quick Bites,South Indian,Budget
Devanna Dum Biriyani Centre,Banashankari,3.6,28,300.0,Yes,No,Quick Bites,Biryani,Budget
Kolbeh,Banashankari,3.7,22,500.0,No,No,Quick Bites,Fast Food,High-End
Upahar Sagar,Banashankari,3.8,39,350.0,No,No,Quick Bites,South Indian,Medium
Kadalu Sea Food Restaurant,Vijay Nagar,3.8,153,500.0,Yes,No,Fine Dining,Seafood,High-End
Frozen Bottle,Banashankari,4.2,146,400.0,Yes,No,Beverage Shop,Beverages,Medium
Parimala Sweets,Banashankari,3.5,14,200.0,No,No,Sweet Shop,Mithai,Budget
Vaishali Deluxe,Banashankari,3.8,42,700.0,No,No,Casual Dining,North Indian,Luxury
Chill Out,Banashankari,,0,100.0,No,No,Quick Bites,South Indian,Budget
The Big O Bakes,Banashankari,4.0,66,300.0,No,No,Bakery,Bakery,Budget
Meghana Foods,Jayanagar,4.4,4401,600.0,Yes,No,Casual Dining,Biryani,High-End
Krishna Sagar,Banashankari,3.5,31,200.0,No,No,Quick Bites,North Indian,Budget
Dessert Rose,Banashankari,3.5,7,500.0,No,No,Dessert Parlor,Desserts,High-End
Chickpet Donne Biryani House,Banashankari,3.7,21,250.0,No,No,Quick Bites,Biryani,Budget
Me And My Cake,Banashankari,,0,500.0,No,No,Delivery,Bakery,High-End
Sunsadm,Banashankari,,0,400.0,No,No,"Takeaway, Delivery",South Indian,Medium
Annapooraneshwari Mess,Banashankari,,0,200.0,No,No,Mess,South Indian,Budget
Thanco's Natural Ice Creams,Banashankari,3.2,9,300.0,No,No,Dessert Parlor,Ice Cream,Budget
Nandhini Deluxe,Banashankari,2.6,283,600.0,No,No,Casual Dining,North Indian,High-End
Vi Ra's Bar and Restaurant,Banashankari,3.3,62,800.0,No,No,Bar,South Indian,Luxury
Kaggis,Banashankari,3.8,64,250.0,No,No,Quick Bites,Fast Food,Budget
Ayda Persian Kitchen,Banashankari,3.7,39,950.0,No,No,Casual Dining,North Indian,Luxury
Chatar Patar,Banashankari,3.7,65,300.0,No,No,Quick Bites,Fast Food,Budget
Polar Bear,Basavanagudi,3.8,71,400.0,Yes,No,Dessert Parlor,Ice Cream,Medium
Kidambi's Kitchen,Banashankari,3.5,52,300.0,No,No,Quick Bites,South Indian,Budget
Mane Thindi,Banashankari,3.7,130,200.0,No,No,Quick Bites,South Indian,Budget
Kotian Karavali Restaurant,Banashankari,3.5,10,300.0,No,No,Quick Bites,South Indian,Budget
Floured-Baked With Love,Banashankari,3.8,45,400.0,No,No,"Takeaway, Delivery",Bakery,Medium
CAFE NOVA,Banashankari,3.2,11,600.0,No,No,Cafe,Cafe,High-End
Cakes & Slices,Banashankari,3.5,13,300.0,No,No,Bakery,Bakery,Budget
Spice 9,Banashankari,3.4,8,300.0,No,No,Quick Bites,Biryani,Budget
Coffee Shopee,Banashankari,,0,250.0,No,No,"Takeaway, Delivery",Beverages,Budget
Naveen Kabab & Biriyani Mane,Banashankari,3.2,9,300.0,No,No,Quick Bites,Biryani,Budget
Katriguppe Donne Biryani,Banashankari,3.2,4,300.0,No,No,Quick Bites,North Indian,Budget
Hari Super Sandwich,Banashankari,,0,200.0,No,No,"Takeaway, Delivery",Sandwich,Budget
Atithi Point Ande Ka Funda,Banashankari,3.1,29,150.0,No,No,Quick Bites,North Indian,Budget
Just Bake,Banashankari,3.4,8,400.0,No,No,Bakery,Bakery,Medium
Dharwad Line Bazaar Mishra Pedha,Banashankari,,0,150.0,No,No,Dessert Parlor,Mithai,Budget
Cake Bite,Banashankari,,0,300.0,No,No,Bakery,Bakery,Budget
Aarush's Food Plaza,Banashankari,,0,200.0,No,No,Quick Bites,North Indian,Budget
Wood Stove,Banashankari,,0,150.0,No,No,"Takeaway, Delivery",South Indian,Budget
Kulfi & More,Banashankari,,0,150.0,No,No,Dessert Parlor,Ice Cream,Budget
Kannadigas Karavali,Banashankari,,0,250.0,No,No,Quick Bites,Mangalorean,Budget
K27 - The Pub,Banashankari,3.1,30,1000.0,No,No,Bar,Chinese,Luxury
Bengaluru Coffee House,Banashankari,4.1,201,300.0,Yes,No,Quick Bites,South Indian,Budget
New Mangalore Lunch Home,Banashankari,3.3,7,200.0,No,No,Quick Bites,Mangalorean,Budget
Coffee Bytes,Banashankari,3.1,6,100.0,No,No,Quick Bites,Fast Food,Budget
Parjanya Chat Zone,Banashankari,3.3,17,200.0,No,No,Quick Bites,Street Food,Budget
Kwality Wall's Swirl's Happiness Station,Banashankari,2.9,25,200.0,No,No,Dessert Parlor,Ice Cream,Budget
Soms Kitchen & Bakes,Banashankari,,0,400.0,No,No,Delivery,South Indian,Medium
Banashankari Nati Style,Banashankari,,0,350.0,No,No,Quick Bites,Biryani,Medium
Ruchi Maayaka,Banashankari,3.3,8,100.0,No,No,Delivery,South Indian,Budget
Mohitesh Hut Roll,Banashankari,,0,150.0,No,No,Quick Bites,Rolls,Budget
Sri Basaveshwar Jolada Rotti Oota,Banashankari,,0,150.0,No,No,Quick Bites,South Indian,Budget
Roll Magic Fast Food,Banashankari,,0,200.0,No,No,"Takeaway, Delivery",Biryani,Budget
Foodlieious Multi Cuisine,Banashankari,,0,100.0,No,No,Quick Bites,North Indian,Budget
Thanishka Nati And Karavali Style,Banashankari,,0,400.0,No,No,Quick Bites,Biryani,Medium
Swathi Cool Point,Banashankari,,0,200.0,No,No,Beverage Shop,Beverages,Budget
Kaumudis Juoice,Banashankari,,0,150.0,No,No,"Beverage Shop, Quick Bites",Beverages,Budget
Amma - Manae,Banashankari,,0,400.0,No,No,"Takeaway, Delivery",South Indian,Medium
Sri Sai Tiffannies,Banashankari,,0,150.0,No,No,Quick Bites,South Indian,Budget
Hotel Andhra Speices,Banashankari,,0,250.0,No,No,Quick Bites,Andhra,Budget
Sri Murari Family Restaurant,Banashankari,,0,250.0,No,No,Quick Bites,Biryani,Budget
Aramane Donne Biriyani,Banashankari,,0,150.0,No,No,Quick Bites,South Indian,Budget
Darkolates,Banashankari,,0,200.0,No,No,Confectionery,Desserts,Budget
Swaada Healthy Kitchen,Banashankari,,0,350.0,No,No,"Quick Bites, Beverage Shop",Healthy Food,Medium
Gawdaru Mane Beriyani,Banashankari,,0,300.0,No,No,Quick Bites,South Indian,Budget
Melting Melodies,Banashankari,,0,100.0,No,No,"Takeaway, Delivery",Pizza,Budget
New Indraprasta,Banashankari,,0,150.0,No,No,Quick Bites,South Indian,Budget
Anna Kuteera,Banashankari,4.0,771,450.0,Yes,No,Casual Dining,South Indian,High-End
Darbar,Banashankari,3.0,98,800.0,No,No,Bar,North Indian,Luxury
Vijayalakshmi,Basavanagudi,3.9,47,200.0,Yes,No,Quick Bites,South Indian,Budget
Sri Udupi Food Hub,Jayanagar,4.1,175,500.0,Yes,Yes,Casual Dining,South Indian,High-End
Udupi Upahar,Banashankari,3.8,58,300.0,Yes,No,Quick Bites,South Indian,Budget
House Of Kebabs,Basavanagudi,3.8,540,650.0,Yes,No,Casual Dining,North Indian,High-End
Roll N Rock,Kumaraswamy Layout,3.8,124,400.0,Yes,No,Quick Bites,Chinese,Medium
BOX8- Desi Meals,Banashankari,4.1,340,500.0,Yes,No,"Takeaway, Delivery",North Indian,High-End
KFC,Banashankari,3.8,505,450.0,Yes,No,Quick Bites,Burger,High-End
Bitez,Banashankari,,0,100.0,No,No,Quick Bites,Fast Food,Budget
Roll Over,Jayanagar,4.1,438,500.0,Yes,No,Dessert Parlor,Desserts,High-End
Imperial Restaurant,Mysore Road,3.7,264,750.0,Yes,No,Casual Dining,North Indian,Luxury
Lassi Shop,Kumaraswamy Layout,3.9,169,150.0,Yes,No,Beverage Shop,Beverages,Budget
The Fortuna,Kumaraswamy Layout,3.0,67,250.0,Yes,No,Quick Bites,North Indian,Budget
Wahab,Jayanagar,3.7,97,350.0,Yes,No,Quick Bites,North Indian,Medium
Al Diwan Biryanis And More,Basavanagudi,3.3,12,300.0,Yes,No,"Takeaway, Delivery",Biryani,Budget
New Gowda's Fried Chicken,Banashankari,3.3,12,300.0,Yes,No,Quick Bites,Biryani,Budget
Canton,Jayanagar,3.6,195,800.0,Yes,No,Casual Dining,Chinese,Luxury
Diabetics Dezire Sugarless Sweets and Bakes,Basavanagudi,3.3,13,300.0,Yes,No,"Dessert Parlor, Sweet Shop",Desserts,Budget
The Blue Wagon - Kitchen,Jayanagar,4.6,228,400.0,Yes,No,Cafe,Cafe,Medium
HOT COFFEE,Basavanagudi,4.1,70,150.0,Yes,No,Quick Bites,South Indian,Budget
Patio 805,Jayanagar,4.1,364,1200.0,Yes,Yes,Casual Dining,Thai,Luxury
Lassi Corner,Basavanagudi,3.7,107,150.0,Yes,No,Beverage Shop,Beverages,Budget
Sagar Deluxe,Kumaraswamy Layout,3.2,167,300.0,Yes,No,Quick Bites,South Indian,Budget
Kanti Sweets,Banashankari,4.0,115,400.0,Yes,No,Sweet Shop,Mithai,Medium
Vegetalia,Banashankari,3.7,27,400.0,Yes,No,"Takeaway, Delivery",Italian,Medium
Aramane Donne Biryani,Banashankari,3.5,57,200.0,Yes,No,Quick Bites,Biryani,Budget
Ande Ka Funda,Banashankari,3.8,120,250.0,Yes,No,Quick Bites,North Indian,Budget
Cake Ghar,Basavanagudi,3.8,15,400.0,Yes,No,Bakery,Bakery,Medium
Energy Addaa,Basavanagudi,4.2,64,500.0,Yes,No,Quick Bites,Salad,High-End
Bhattara Bhojana,Banashankari,3.6,66,150.0,Yes,No,Quick Bites,South Indian,Budget
Tandoori Knight,Banashankari,3.0,290,450.0,Yes,No,Quick Bites,North Indian,High-End
Dev Sagar - Food Street,Basavanagudi,4.1,233,200.0,Yes,No,Quick Bites,Street Food,Budget
Mitraa Da Pizza,Kumaraswamy Layout,3.8,115,250.0,Yes,No,Quick Bites,Fast Food,Budget
Paradise Premium,Banashankari,3.1,119,700.0,Yes,No,Casual Dining,Biryani,Luxury
Grazers,Jayanagar,3.9,291,650.0,Yes,Yes,Cafe,Cafe,High-End
Shakes Theory,Jayanagar,4.5,155,300.0,Yes,No,Beverage Shop,Beverages,Budget
@Italy,Kumaraswamy Layout,4.1,305,700.0,Yes,No,Casual Dining,Italian,Luxury
Chilli Flakes,Banashankari,3.6,46,500.0,Yes,No,Quick Bites,Fast Food,High-End
Calcutta Cafe,Kumaraswamy Layout,3.5,45,350.0,Yes,No,Quick Bites,Bengali,Medium
Old Mumbai Ice Cream,Banashankari,3.9,38,150.0,Yes,No,Dessert Parlor,Ice Cream,Budget
Donne Biriyani House,Banashankari,3.9,441,400.0,Yes,No,Quick Bites,South Indian,Medium
By 2 Coffee,Basavanagudi,3.9,25,100.0,Yes,No,Quick Bites,South Indian,Budget
Kedia's Fun Food,Jayanagar,4.3,630,200.0,Yes,No,Quick Bites,North Indian,Budget
Davangere Butter Dosa Hotel,Kumaraswamy Layout,3.8,25,150.0,Yes,No,Quick Bites,South Indian,Budget
Just Shawarma,Kumaraswamy Layout,3.9,160,300.0,Yes,No,Quick Bites,Arabian,Budget
Mini Punjabi Dhaba,Banashankari,4.2,287,350.0,Yes,No,Quick Bites,North Indian,Medium
Mulabagilu Dosa,Basavanagudi,3.6,11,100.0,Yes,No,Quick Bites,South Indian,Budget
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,4.1,402,500.0,Yes,No,Cafe,Cafe,High-End
Gokul Veg,Basavanagudi,3.8,469,750.0,Yes,No,Casual Dining,North Indian,Luxury
Olive - Era,Kumaraswamy Layout,3.3,511,550.0,Yes,No,Casual Dining,BBQ,High-End
Udupi Ruchi,Banashankari,3.9,57,200.0,Yes,No,Quick Bites,South Indian,Budget
Madhappa Hindu Military Hotel,Banashankari,3.4,14,300.0,Yes,No,Quick Bites,South Indian,Budget
Gama Gama,Banashankari,3.9,264,200.0,Yes,No,Quick Bites,South Indian,Budget
The Vintage Cafe,Banashankari,3.0,62,400.0,Yes,No,Cafe,Cafe,Medium
Pizza Hut,Banashankari,3.8,693,750.0,Yes,No,Casual Dining,Pizza,Luxury
Mangalore Pearl,Jayanagar,3.8,242,650.0,Yes,No,Casual Dining,Mangalorean,High-End
Asha Sweets Centre,Basavanagudi,3.6,27,250.0,Yes,No,Dessert Parlor,Fast Food,Budget
Twiststick House,Basavanagudi,4.1,163,500.0,Yes,No,Quick Bites,Continental,High-End
Cool Corner,Basavanagudi,4.2,191,250.0,Yes,No,Quick Bites,Street Food,Budget
Pizza Mane,Banashankari,3.5,32,150.0,Yes,No,Quick Bites,Pizza,Budget
Dal Tadkaa,Banashankari,2.5,247,500.0,Yes,No,Casual Dining,North Indian,High-End
Chutney Chang,Jayanagar,4.1,2339,1500.0,Yes,Yes,Casual Dining,North Indian,Luxury
Mystique Palate,Jayanagar,4.1,337,300.0,Yes,No,Quick Bites,Chinese,Budget
Thamboola,Banashankari,3.9,135,800.0,Yes,No,Casual Dining,North Indian,Luxury
Castle Rock,Uttarahalli,3.6,172,700.0,Yes,No,Casual Dining,North Indian,Luxury
Vietnamese Kitchen,Banashankari,3.6,105,700.0,Yes,No,Casual Dining,Vietnamese,Luxury
Smacznego,Banashankari,4.2,504,550.0,Yes,No,Cafe,Cafe,High-End
C Corner,Kumaraswamy Layout,3.2,36,200.0,Yes,No,Quick Bites,Fast Food,Budget
Paratha Merchant,Kumaraswamy Layout,3.1,39,300.0,Yes,No,Quick Bites,North Indian,Budget
North Rasoe,Kumaraswamy Layout,3.1,5,500.0,Yes,No,Casual Dining,North Indian,High-End
Inchara Restaurant,Basavanagudi,,0,300.0,Yes,No,Quick Bites,North Indian,Budget
Toscano,Jayanagar,4.3,1129,1300.0,Yes,Yes,Casual Dining,Italian,Luxury
Lord Of The Kitchen,Kumaraswamy Layout,3.9,56,350.0,Yes,No,Quick Bites,North Indian,Medium
Stoned Monkey,Banashankari,4.3,860,500.0,Yes,No,Dessert Parlor,Desserts,High-End
Central Jail Restaurant,Jayanagar,3.8,412,700.0,Yes,No,Casual Dining,Andhra,Luxury
Bella,Jayanagar,3.9,142,1000.0,Yes,Yes,Casual Dining,Mangalorean,Luxury
Vennela Andhra Meals,Jayanagar,3.0,23,400.0,Yes,No,Quick Bites,Andhra,Medium
New Prashanth Hotel,Jayanagar,3.6,143,750.0,Yes,No,Casual Dining,South Indian,Luxury
The Grillo,Jayanagar,2.8,80,500.0,Yes,Yes,Casual Dining,South Indian,High-End
Re Malnad Nati Style Hotel,JP Nagar,3.6,16,400.0,Yes,No,Casual Dining,South Indian,Medium
Karma Kaapi,Jayanagar,4.4,181,250.0,Yes,No,Beverage Shop,Beverages,Budget
Tiwari's,Jayanagar,3.8,70,200.0,Yes,No,Quick Bites,North Indian,Budget
Pizza Stop,Basavanagudi,3.8,164,600.0,Yes,No,Quick Bites,Pizza,High-End
Biggies Burger 'n' More,Kumaraswamy Layout,3.6,58,650.0,Yes,No,Quick Bites,Cafe,High-End
Srinathji's Cafe,Basavanagudi,3.8,148,550.0,No,No,"Casual Dining, Cafe",North Indian,High-End
Kollapuri's,Basavanagudi,3.9,206,450.0,No,No,Quick Bites,South Indian,High-End
Sugar Stars Co,Basavanagudi,,0,300.0,No,No,Bakery,Bakery,Budget
Bombay Kulfis,JP Nagar,,0,200.0,No,No,Dessert Parlor,Ice Cream,Budget
Kadamba Classic,Mysore Road,3.6,16,300.0,No,No,Quick Bites,South Indian,Budget
RS Shiv Sagar,Basavanagudi,3.7,217,450.0,No,No,Casual Dining,North Indian,High-End
Kholi Mane,Basavanagudi,3.6,46,450.0,No,No,Quick Bites,Andhra,High-End
Harshi Super Sandwich,Basavanagudi,3.8,148,150.0,No,No,Quick Bites,Fast Food,Budget
Cake Yard,Basavanagudi,3.4,30,250.0,No,No,Dessert Parlor,Desserts,Budget
Rosewood International Hotel - Bar & Restaurant,Mysore Road,3.6,8,800.0,No,No,Casual Dining,North Indian,Luxury
Sri Udupi Veg,Jayanagar,3.3,4,250.0,No,No,Quick Bites,South Indian,Budget
Cake Art,Basavanagudi,3.5,15,400.0,No,No,"Bakery, Quick Bites",Bakery,Medium
Aahar Cafe,Basavanagudi,,0,100.0,No,No,Quick Bites,South Indian,Budget
Akash Gowdru Biryani Center,Uttarahalli,,0,300.0,No,No,Quick Bites,North Indian,Budget
New Sri Udupi Restaurant,Jayanagar,,0,200.0,No,No,Quick Bites,North Indian,Budget
Potato House,Uttarahalli,3.4,9,200.0,Yes,No,Quick Bites,Street Food,Budget
Hotel Biriyani Counter,Vijay Nagar,,0,350.0,No,No,Quick Bites,North Indian,Medium
Matru Sagar,Mysore Road,3.7,31,300.0,Yes,No,Quick Bites,South Indian,Budget
Ugadi,Jayanagar,2.9,177,700.0,Yes,No,Casual Dining,North Indian,Luxury
Sri Krishna Sweets,Basavanagudi,3.7,22,250.0,Yes,No,Sweet Shop,Mithai,Budget
In Time Cane Juice,Kumaraswamy Layout,3.5,10,100.0,Yes,No,Beverage Shop,Juices,Budget
Subway,Banashankari,3.7,136,600.0,Yes,No,Quick Bites,Salad,High-End
Daal Roti,Kumaraswamy Layout,2.9,35,250.0,Yes,No,Quick Bites,North Indian,Budget
The Lassi Park,Jayanagar,4.1,185,200.0,Yes,No,Quick Bites,Juices,Budget
Cafe Coffee Day,Jayanagar,3.2,17,900.0,Yes,No,Cafe,Cafe,Luxury
A2B - Adyar Ananda Bhavan,Mysore Road,3.8,155,400.0,Yes,No,Casual Dining,South Indian,Medium
Srikrishna Bhavan,Banashankari,3.8,42,300.0,Yes,No,Quick Bites,South Indian,Budget
Timepass Dinner,Basavanagudi,3.8,286,600.0,Yes,No,Casual Dining,North Indian,High-End
Green Gardenia,Banashankari,3.8,160,700.0,Yes,No,Casual Dining,North Indian,Luxury
J Spice,Banashankari,3.8,59,750.0,Yes,No,Casual Dining,North Indian,Luxury
Karavali Family Restaurant,Jayanagar,3.5,90,500.0,Yes,No,Casual Dining,Seafood,High-End
Karavali Lunch Home,Kumaraswamy Layout,3.7,51,350.0,Yes,No,Quick Bites,South Indian,Medium
Hatti Kaapi,Jayanagar,4.0,89,200.0,Yes,No,Quick Bites,South Indian,Budget
Kolkata Kathi Roll's,Banashankari,3.6,18,250.0,Yes,No,Quick Bites,Fast Food,Budget
Upahara Darshini,Basavanagudi,3.9,40,600.0,Yes,No,Casual Dining,North Indian,High-End
The Chaat Shop,Basavanagudi,2.5,35,200.0,Yes,No,Quick Bites,Fast Food,Budget
Anda Ka Funda,Jayanagar,3.4,89,250.0,Yes,No,Quick Bites,North Indian,Budget
Shri Vinayaka Ice N Juice,Basavanagudi,3.2,11,150.0,Yes,No,Quick Bites,Beverages,Budget
My Tea House,Banashankari,3.6,62,600.0,Yes,No,"Quick Bites, Cafe",Italian,High-End
Ibaco,Jayanagar,3.9,33,300.0,Yes,No,Dessert Parlor,Desserts,Budget
Jalaram Sweets,Jayanagar,3.8,32,250.0,Yes,No,Sweet Shop,Desserts,Budget
Samskruti - Sanman Gardenia,Jayanagar,4.1,139,550.0,Yes,No,Casual Dining,North Indian,High-End
Bendakaluru Bytes,Vijay Nagar,3.2,154,300.0,Yes,No,Quick Bites,Fast Food,Budget
Cocoa Bakes,Banashankari,3.6,14,350.0,Yes,No,Bakery,Bakery,Medium
Chumma Delicious,Banashankari,3.7,237,200.0,Yes,No,Quick Bites,South Indian,Budget
New Prashanth Hotel,Banashankari,3.9,388,650.0,Yes,No,Casual Dining,Biryani,High-End
SSV Upahar,Jayanagar,,0,300.0,Yes,No,Quick Bites,South Indian,Budget
Dwaraka Grand,Kumaraswamy Layout,3.9,128,500.0,Yes,No,Casual Dining,South Indian,High-End
Gufha - The President Hotel,Jayanagar,4.1,1875,1200.0,Yes,Yes,Casual Dining,North Indian,Luxury
Cafe Vivacity,Banashankari,3.8,90,650.0,Yes,No,Cafe,Cafe,High-End
Tanna's Kitchen,Kumaraswamy Layout,3.1,7,250.0,Yes,No,Quick Bites,Italian,Budget
Shree Mandarathi Grand,Uttarahalli,3.7,38,400.0,Yes,No,Casual Dining,South Indian,Medium
Mojo Pizza - 2X Toppings,Banashankari,4.2,179,600.0,Yes,No,Delivery,Pizza,High-End
Iceberg Icecreams,Basavanagudi,4.0,43,250.0,Yes,No,Dessert Parlor,Desserts,Budget
South Kitchen,Basavanagudi,4.3,275,100.0,Yes,No,Quick Bites,South Indian,Budget
